"","Date","^GSPC","GOOG","BIDU","CHKP","ADP","SOHU","NATI","SA","EEQ","OII","TOT","OMN","KOP","LCI","VIVO","HALO","WST","WCG","ABT","PNC","MA","DB","IX","BAF","VLT","F","NKE","NAV","MAT","WWW","KS"
"11","2010-11-01",1180.550049,276.059509,105.050003,42.869999,31.83799,69.43,19.295547,28.950001,19.058464,30.479387,31.623348,8.78,25.594343,5.53,16.60574,6.94,16.857525,28.15,17.266264,45.626427,20.896557,40.270603,37.884007,9.172126,8.789715,12.71172,17.059231,51.18,18.548218,13.963387,6.24986
"12","2010-12-01",1257.640015,295.065887,96.529999,46.259998,33.059502,63.490002,21.405857,30.68,19.975098,32.477531,35.521839,8.36,32.252567,5.59,17.458942,7.92,18.315668,30.219999,17.785999,51.447292,19.757536,43.704857,43.27441,8.532669,8.814555,13.389572,16.91861,57.91,18.253916,14.24489,6.496118
"13","2011-01-01",1286.119995,298.240234,108.629997,44.549999,34.521072,77.580002,24.061682,28.16,19.990738,34.065449,39.035492,7.03,34.686382,5.23,16.539257,6.67,17.77776,29.9,16.765093,50.837246,20.850714,49.162712,45.017838,8.385644,8.977922,12.719694,16.570757,64.849998,17.56185,14.3283,7.230647
"14","2011-02-01",1327.219971,304.718109,121.160004,49.84,36.034523,81.559998,26.555429,33.349998,21.25519,36.888439,40.715939,7.04,36.426109,5.67,16.399569,6.91,18.430384,37.549999,18.205511,52.36248,21.346807,53.89006,49.919006,8.652453,9.232664,12.00197,17.886694,61.98,18.5853,16.537146,7.281595
"15","2011-03-01",1325.829956,291.484161,137.809998,51.049999,36.978626,89.360001,28.095402,31.82,19.993105,39.455582,40.49675,7.87,38.702194,5.58,18.239481,6.71,20.071232,41.950001,18.565083,53.457256,22.337122,49.599339,41.424236,8.616687,9.365651,11.890324,15.208611,69.330002,18.656908,16.771078,7.290088
"16","2011-04-01",1363.609985,270.292023,148.520004,54.93,39.495018,105.739998,25.994902,34.07,21.693901,38.560165,42.662071,8.5,41.448521,5.77,18.786896,6.63,21.178579,43.810001,19.696779,52.905621,24.48192,54.847282,44.257462,8.659616,9.499455,12.33691,16.77409,69.519997,19.99649,17.969173,7.37925
"17","2011-05-01",1345.199951,262.80072,135.710007,54.919998,40.039928,80.629997,25.034664,29.75,20.027622,35.948914,38.251736,9.41,36.372814,5.33,18.282427,6.74,20.995649,49.25,20.171717,53.271648,25.618387,50.170319,42.952335,9.066509,9.696975,11.898297,17.208113,65.870003,19.757011,17.71558,6.984388
"18","2011-06-01",1320.640015,251.553879,140.130005,56.849998,38.274426,72.269997,25.5509,28.209999,19.950148,35.728367,39.512508,6.96,34.559605,4.98,18.473986,6.91,19.766983,51.41,20.314564,50.873482,26.893734,50.717949,43.951431,9.25303,9.580272,10.997153,18.334946,56.459999,20.75156,18.906588,7.035337
"19","2011-07-01",1292.280029,299.89447,157.070007,57.650002,37.701576,90.099998,22.230143,27.65,19.239944,38.265812,36.937092,6.76,33.730465,4.75,16.550728,6.94,19.816675,43.849998,19.812679,46.333199,27.06419,47.062214,48.81192,9.120573,9.137414,9.737146,18.651108,51.310001,20.125017,17.249296,6.619247
"20","2011-08-01",1218.890015,268.732147,145.779999,54.439999,36.632557,81.75,21.877424,29.27,18.095104,37.814064,33.500931,4.41,30.277241,3.87,14.30371,6.8,18.258469,45.830002,20.659939,43.051151,29.566029,34.648132,40.936131,9.51156,9.374963,8.867901,17.926994,41.400002,20.283539,16.584282,6.38148
"21","2011-09-01",1131.420044,255.855911,106.910004,52.759998,34.523777,48.200001,19.743034,22.48,18.06225,31.415369,29.969122,3.58,23.510324,3.83,12.169748,6.14,16.884077,37.98,20.120918,41.376846,28.440632,29.631132,34.860519,9.915177,9.223847,7.711565,17.691145,32.119999,19.721495,15.144948,5.897457
"22","2011-10-01",1253.300049,294.405182,140.179993,57.630001,38.646694,60.400002,23.068083,23.75,20.250221,37.184654,36.348957,4.43,30.377068,4.09,14.087219,8.43,17.6896,49.009998,21.19503,46.116432,31.138,35.452908,39.531982,9.609537,9.804688,9.314487,20.22323,42.07,21.511593,17.395432,6.963159
"23","2011-11-01",1246.959961,297.758362,130.990005,55.34,37.730934,49.439999,22.713984,22.790001,21.301752,42.278309,35.959751,4.35,30.321978,3.95,14.790805,9.48,17.700768,58.450001,21.877892,46.866364,33.751522,33.629318,37.920826,10.425342,8.853418,8.453218,20.187551,37.23,21.945786,16.895536,7.039584
"24","2011-12-01",1257.599976,320.863098,116.470001,52.540001,39.887409,50,22.497448,16.110001,23.240704,41.148689,35.521896,4.61,31.735872,4.42,14.714906,9.51,17.434313,52.5,22.551672,49.857658,33.595615,32.413597,36.921726,10.641182,9.287765,8.58081,20.22743,37.880001,21.323977,16.345194,6.682933
"25","2012-01-01",1312.410034,288.180664,127.519997,56.290001,40.808189,59.610001,23.329723,20.17,22.592157,43.34304,37.37048,4.96,35.088638,5.08,13.621442,10.56,18.5966,59.759998,21.717463,50.93832,32.041191,36.548771,42.943329,11.177252,10.137252,9.904616,22.158573,43.290001,23.812805,18.049658,7.413218
"26","2012-02-01",1365.680054,307.127441,136.699997,58.16,40.46553,49.34,23.060968,23.66,22.931129,48.409698,39.557526,5.1,34.756138,4.13,14.074452,11.51,19.289415,67.860001,23.116232,51.750839,38.007149,40.016155,43.537392,11.111467,10.271223,9.911464,22.995993,41.779999,24.918945,17.611002,8.534116
"27","2012-03-01",1408.469971,318.548157,145.770004,63.84,41.113625,55.169998,24.853443,20.09,21.620584,48.201599,36.0653,6.75,35.838512,4.17,15.303392,12.76,19.720646,71.879997,25.027271,56.072102,38.056023,42.627392,43.429379,10.78805,10.371985,9.991524,23.106796,40.450001,26.105564,17.167727,8.364284
"28","2012-04-01",1397.910034,300.470734,132.699997,58.130001,41.782837,51.57,23.703146,16.76,22.082331,46.180145,34.402607,7.84,36.135933,3.94,16.22728,8.08,20.819584,61.18,25.341688,57.663239,40.927357,37.148071,43.579514,11.016774,10.566842,9.030799,24.160048,33.950001,26.059025,19.489128,7.667967
"29","2012-05-01",1310.329956,288.553253,117.769997,51.240002,39.176117,44.439999,22.692268,15.17,21.528582,41.341213,30.79859,7.2,32.632008,4.05,14.955946,7.64,22.367369,56.470001,25.685415,53.74184,37.040081,30.804045,39.120132,11.199492,10.527882,8.490964,23.363131,27.940001,24.143377,19.749289,6.555559
"30","2012-06-01",1362.160034,288.160797,114.980003,49.59,41.812897,44.639999,23.526712,14.49,22.573036,42.966972,32.142941,7.54,31.796772,4.24,16.308178,8.86,23.626116,53,26.799461,53.470596,39.190445,30.966715,42.537769,11.159867,10.712407,7.711019,19.212164,28.370001,25.412434,18.016409,6.729639
"31","2012-07-01",1379.319946,314.43988,120.519997,48.57,42.853615,35.049999,22.633295,14.66,22.558916,46.405407,33.405746,7.28,30.805462,4.73,13.319143,9.02,23.293879,64.82,27.564329,51.71188,39.779068,26.69063,43.277958,12.057047,10.892901,7.429594,20.431259,24.6,27.551023,20.771507,7.137239
"32","2012-08-01",1406.579956,340.331482,111.440002,46.09,44.013042,39.169998,22.563219,16.790001,22.36006,48.066269,36.248337,7.79,30.309813,4.89,14.092306,5.8,22.31234,56.689999,27.692476,54.752239,38.796959,31.177189,42.610878,11.778141,10.845309,7.510002,21.308914,21.98,27.527523,21.98704,8.504396
"33","2012-09-01",1440.670044,374.812195,116.889999,48.16,44.452568,42.09,22.128929,19.4,22.740747,49.765091,36.42281,7.57,32.919903,4.83,15.465034,7.54,25.007732,56.549999,28.968519,55.580208,41.418896,34.880798,45.790932,12.463661,10.949566,7.971251,21.080273,21.09,28.029776,20.743456,9.506411
"34","2012-10-01",1412.160034,337.951935,106.730003,44.52,44.130722,37.959999,20.74642,17.24,22.525265,47.134972,37.148338,7.84,33.645592,4.41,15.924634,5.29,25.384706,47.599998,27.675579,51.26416,42.285839,40.211887,46.924049,12.124337,11.801392,9.022229,20.296228,18.75,29.064985,19.681475,9.328086
"35","2012-11-01",1416.180054,346.928558,96.309998,46.169998,43.328888,39.830002,21.415663,15.12,21.556854,47.450226,36.971432,7.42,33.353436,4.96,16.150402,6.23,25.641623,48.27,27.88553,49.756081,45.116653,38.821934,46.293526,12.784442,11.563292,9.30157,21.651089,20.41,29.641861,20.344261,9.306857
"36","2012-12-01",1426.189941,351.404449,100.290001,47.639999,43.473991,47.34,22.856964,17.969999,21.111101,48.615105,38.335011,7.01,36.219795,4.96,16.492626,6.71,25.983316,48.689999,28.100033,51.679314,45.356686,38.962688,51.758102,12.099255,11.218774,10.520116,22.921547,21.77,29.183926,19.263121,9.421494
"37","2013-01-01",1498.109985,375.403351,108.300003,50,45.666077,47.880001,25.150631,14.77,22.27298,57.128834,40.629978,8.18,38.507858,5.98,17.222605,6.69,28.099951,50.709999,30.293447,54.772453,47.860508,45.446209,50.250317,12.281898,11.783292,10.520116,24.430048,26.09,29.988834,20.33371,11.221365
"38","2013-02-01",1514.680054,398.011322,90.760002,52.509998,47.260414,44.639999,26.638416,12.45,20.327553,57.47229,37.434372,8.01,39.381306,8.26,17.428125,5.45,28.874086,57.189999,30.338442,55.659515,48.089291,40.229481,50.780319,12.11597,11.899336,10.319346,24.615366,24.83,32.475281,19.95541,12.455715
"39","2013-03-01",1569.189941,394.528961,87.699997,46.990002,50.087112,49.610001,29.138912,13.8,22.477079,60.197384,35.907658,7.67,42.000149,10.11,18.759895,5.77,31.034147,57.959999,31.712166,59.326138,50.254059,34.414547,58.09993,11.65881,12.128737,10.761252,26.879675,34.57,35.189526,20.981554,12.998081
"40","2013-04-01",1597.569946,409.620819,85.849998,46.619999,52.27969,51.439999,24.31653,11.47,22.097754,63.605625,38.199112,6.67,41.9333,11.61,16.680031,6.04,30.518026,58.310001,33.148724,60.557262,51.349907,40.51099,70.962143,11.739952,12.192558,11.219525,28.970467,33.119999,36.709019,22.711273,13.830332
"41","2013-05-01",1630.73999,432.795074,96.639999,50.080002,53.351063,64.18,25.268553,12.09,22.527607,65.699524,37.902576,7.41,39.316643,11.47,17.765177,7.06,32.956619,52.139999,33.048977,64.332169,53.559956,40.748516,61.62793,11.181563,11.632304,12.831669,28.086779,35.869999,35.977406,24.888742,13.563826
"42","2013-06-01",1606.280029,437.340515,94.599998,49.68,53.459747,61.619999,24.983437,9.43,22.936647,65.639595,37.028198,8.01,36.682816,11.91,17.84182,7.95,33.778725,55.549999,31.43574,65.48159,53.959129,37.725349,63.086693,10.549829,10.746587,12.752831,29.201807,27.76,36.713894,25.963211,18.786438
"43","2013-07-01",1685.72998,441.006683,132.309998,56.32,56.377495,62.470001,25.206984,11.17,23.868355,73.721825,40.949085,8.06,37.134384,13.89,20.522243,8.51,35.461411,61.029999,33.012928,68.292336,57.350697,40.459198,68.69091,9.611917,10.815269,13.915178,28.853287,34.150002,34.056171,27.467758,20.595879
"44","2013-08-01",1632.969971,420.713654,135.529999,56.07,55.6502,62.27,24.813543,14.34,23.104574,70.530769,42.693573,7.72,37.24968,13.26,18.663376,8.31,35.736542,63.669998,30.160339,65.283012,57.513935,39.04731,62.948196,9.792381,10.897356,13.424972,28.807434,34.27,32.816444,26.865965,19.637388
"45","2013-09-01",1681.550049,435.124939,155.179993,56.560001,56.604294,78.830002,27.797379,10.46,22.172379,74.06356,44.708225,8.55,41.241016,21.82,19.76123,11.04,39.771702,69.739998,30.033646,65.445602,63.843433,41.259567,75.541534,10.054008,10.998319,13.988836,33.532852,36.48,34.229919,27.811647,20.011433
"46","2013-10-01",1756.540039,511.960205,160.800003,58.02,59.073612,66.959999,26.10779,9.45,21.972073,78.293686,47.89024,8.7,43.039566,23.610001,20.672777,11.65,46.730545,66.68,33.07412,66.421188,68.049149,43.453846,79.85318,10.194432,11.295146,14.187848,34.973137,36.16,36.273254,27.634949,24.294254
"47","2013-11-01",1805.810059,526.37146,166.570007,61.860001,63.00243,67.389999,28.093958,7.26,22.398941,70.371323,47.217056,8.76,45.814754,29.540001,20.555691,14.76,48.353771,74.300003,34.704632,69.944786,72.846161,43.130104,84.589531,9.744702,11.119598,14.243857,36.53344,40.189999,37.818024,31.502119,24.91143
